Student_ID,Name,Age,Grade
1,Student 1,15,92
2,Student 2,18,70
3,Student 3,16,61
4,Student 4,15,54
5,Student 5,18,56
6,Student 6,18,54
7,Student 7,18,97
8,Student 8,18,53
9,Student 9,16,62
10,Student 10,18,86
11,Student 11,16,90
12,Student 12,17,64
13,Student 13,15,65
14,Student 14,18,70
15,Student 15,17,85
16,Student 16,15,73
17,Student 17,15,65
18,Student 18,15,63
19,Student 19,17,71
20,Student 20,16,98
21,Student 21,17,99
22,Student 22,18,55
23,Student 23,18,91
24,Student 24,17,85
25,Student 25,15,50
26,Student 26,16,81
27,Student 27,16,55
28,Student 28,16,80
29,Student 29,16,50
30,Student 30,15,99
31,Student 31,16,100
32,Student 32,15,86
33,Student 33,18,84
34,Student 34,15,98
35,Student 35,18,79
36,Student 36,16,53
37,Student 37,17,84
38,Student 38,18,92
39,Student 39,18,63
40,Student 40,15,98
41,Student 41,17,89
42,Student 42,18,71
43,Student 43,15,59
44,Student 44,16,50
45,Student 45,18,60
46,Student 46,16,100
47,Student 47,18,93
48,Student 48,18,73
49,Student 49,17,52
50,Student 50,18,84
51,Student 51,15,85
52,Student 52,16,80
53,Student 53,16,53
54,Student 54,16,68
55,Student 55,18,96
56,Student 56,15,85
57,Student 57,18,70
58,Student 58,17,67
59,Student 59,15,100
60,Student 60,18,77
61,Student 61,18,64
62,Student 62,17,91
63,Student 63,18,51
64,Student 64,17,86
65,Student 65,18,60
66,Student 66,15,72
67,Student 67,17,93
68,Student 68,15,90
69,Student 69,15,61
70,Student 70,15,52
71,Student 71,16,66
72,Student 72,16,82
73,Student 73,17,50
74,Student 74,15,88
75,Student 75,15,69
76,Student 76,16,96
77,Student 77,18,92
78,Student 78,15,90
79,Student 79,16,63
80,Student 80,17,80
81,Student 81,17,74
82,Student 82,18,52
83,Student 83,15,53
84,Student 84,16,80
85,Student 85,16,84
86,Student 86,18,93
87,Student 87,16,63
88,Student 88,16,98
89,Student 89,18,90
90,Student 90,17,58
91,Student 91,18,69
92,Student 92,18,81
93,Student 93,17,58
94,Student 94,17,76
95,Student 95,18,52
96,Student 96,15,53
97,Student 97,17,94
98,Student 98,18,64
99,Student 99,16,82
100,Student 100,15,54
